planning_horizon,technology,parameter,value,unit,source,further description
all,solar,marginal_cost,0.01,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,onwind,marginal_cost,0.015,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,offwind,marginal_cost,0.015,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,hydro,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,H2,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,electrolysis,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,fuel cell,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,battery,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,battery inverter,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,home battery storage,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,water tank charger,marginal_cost,0.03,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,central water pit charger,marginal_cost,0.025,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,alpine-solar,investment,2231,EUR/kW_e,Harnessing solar power in the Alps: A study on the financial viability of mountain PV systems, 60% subsidy (Einmalvergütung)
all,alpine-solar,FOM,0.55,%/year, Harnessing solar power in the Alps: A study on the financial viability of mountain PV systems, 7.05Eur/kWp (operation costs) + 5.23 Eur/kWp (land lease with assumption of 1000kWp for 1 hectare becaue of error in paper) = (12.28 Eur/kWp) / (1280 Eur/kW) = 0.0096 = 0.96%/year
all,alpine-solar,lifetime,35,years
all,alpine,marginal_cost,0.01,EUR/MWh
